Pulgar (Flexión 0-100),Índice (Flexión 0-100),Corazón (Flexión 0-100),Anular (Flexión 0-100),Meñique (Flexión 0-100),AX (Acelerómetro X en Gs),AY (Acelerómetro Y en Gs),AZ (Acelerómetro Z en Gs),GX (Giroscopio X en grados/seg),GY (Giroscopio Y en grados/seg),GZ (Giroscopio Z en grados/seg),Letra
67.9,0.0,0.0,0.0,0.0,0.1695,0.9854,0.071,0.0,0.0,0.0,B
67.8,0.0,0.0,0.0,0.0,0.168,0.9865,0.0728,0.0,0.0,0.0,B
67.6,0.0,0.0,0.0,0.0,0.1677,0.9864,0.0755,0.0,0.0,0.0,B
67.4,0.0,0.0,0.0,0.0,0.1683,0.9861,0.0769,0.0,0.0,0.0,B
67.5,0.0,0.0,0.0,0.0,0.1682,0.987,0.0782,0.0,0.0,0.0,B
67.5,0.0,0.0,0.0,0.0,0.1678,0.9876,0.0781,0.0,0.0,0.0,B
66.9,0.0,0.0,0.0,0.0,0.1677,0.9878,0.0792,0.0,0.0,0.0,B
66.9,0.0,0.0,0.0,0.0,0.168,0.9877,0.0812,0.0,0.0,0.0,B
66.7,0.0,0.0,0.0,0.0,0.1669,0.9893,0.0824,0.0,0.0,0.0,B
66.4,0.0,0.0,0.0,0.0,0.1674,0.9889,0.0829,0.0,0.0,0.0,B
66.2,0.0,0.0,0.0,0.0,0.1667,0.9903,0.0828,0.0,0.0,0.0,B
66.1,0.0,0.0,0.0,0.0,0.1658,0.9902,0.0828,0.0,0.0,0.0,B
66.2,0.0,0.0,0.0,0.0,0.1656,0.989,0.0831,0.0,0.0,0.0,B
66.2,0.0,0.0,0.0,0.0,0.1655,0.9889,0.0828,0.0,0.0,0.0,B
66.3,0.0,0.0,0.0,0.0,0.166,0.9887,0.0843,0.0,0.0,0.0,B
66.3,0.0,0.0,0.0,0.1,0.1664,0.9887,0.0857,0.0,0.0,0.0,B
66.2,0.0,0.0,0.0,0.2,0.1666,0.9885,0.0857,0.0,0.0,0.0,B
66.1,0.0,0.0,0.0,0.3,0.1662,0.9882,0.085,0.0,0.0,0.0,B
66.2,0.0,0.0,0.0,0.4,0.1653,0.9875,0.085,0.0,0.0,0.0,B
66.3,0.0,0.0,0.0,0.3,0.1603,0.9901,0.084,0.0,0.0,0.0,B
66.4,0.0,0.0,0.0,0.2,0.1556,0.9915,0.0825,0.0,0.0,0.0,B
